faq_id,question,answer,beneficiaries,sector,subsite,page_number,page_url,source,searchable_text,source_type,source_name,legal_category,document_unit_id,text_for_indexing,normalized_text,faq_domain_label,faq_filter_reason,keep_for_rag,keep_for_eval,is_eval_record,faq_split,question_similarity_to_indexing,qa_similarity_to_indexing,max_similarity_to_indexing,nearest_indexing_question_by_question,nearest_indexing_question_by_qa,nearest_indexing_document_unit_id_by_question,nearest_indexing_document_unit_id_by_qa,content_leakage_status
35,هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟,يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,004ea50cd2e3b50e605b6d0f769d2fb418a83490050e46372e0a4ce04446c378,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندا تنفيذيا؟ الاجابه: يحق لصاحب العمل الاعتراض علي طلب التنفيذ عن طريق منصه ( ناجز )، حيث يتم اشعار صاحب العمل بطلب التنفيذ ويتم اعطاءه (5) ايام للاعتراض او السداد.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.5227,0.2605,0.5227,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,clean
37,كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟,يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,001715202ff48d357db0ee5b5dc2f8992b5a1cec7389155a11cad6d876f37fc6,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الاجر في عقد العمل الموثق سندا تنفيذيا؟ الاجابه: يتم وفق التالي: الدخول علي منصه ناجز التابعه لوزاره العدل. الدخول علي منصه ناجز التابعه لوزاره العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبه. استكمال البيانات المطلوبه.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.7198,0.2594,0.7198,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3,clean
39,ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟,البند الخاضع للتنفيذ هو بند الأجر ويشمل ما يلي: الأجر الأساسي. بدل السكن حال وجوده. بدل النقل حال وجوده. إجمالي بدلات نقدية أخرى حال وجودها.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: البند الخاضع للتنفيذ هو بند الأجر ويشمل ما يلي: الأجر الأساسي. بدل السكن حال وجوده. بدل النقل حال وجوده. إجمالي بدلات نقدية أخرى حال وجودها.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,1f0a32b43d1d888523da1db089e2b5f6310977c6d4065dff65bf39462c298fd2,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: البند الخاضع للتنفيذ هو بند الأجر ويشمل ما يلي: الأجر الأساسي. بدل السكن حال وجوده. بدل النقل حال وجوده. إجمالي بدلات نقدية أخرى حال وجودها.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندا تنفيذيا؟ الاجابه: البند الخاضع للتنفيذ هو بند الاجر ويشمل ما يلي: الاجر الاساسي. بدل السكن حال وجوده. بدل النقل حال وجوده. اجمالي بدلات نقديه اخري حال وجودها.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.5433,0.2315,0.5433,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,clean
41,ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟,سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصة قوى على ثلاث مراحل: المرحلة الأولى: تشمل العقود الجديدة (العلاقة التعاقدية الجديدة) أو في حال التحديث على بنود العقود الحالية المرحلة الثانية: تشمل العقود محددة المدة بعد انتهاءها وتجديدها او تمديدها فيتم نقلها إلى نموذج العقود التنفيذية. المرحلة الثالثة: تشمل العقود غير محددة المدة.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصة قوى على ثلاث مراحل: المرحلة الأولى: تشمل العقود الجديدة (العلاقة التعاقدية الجديدة) أو في حال التحديث على بنود العقود الحالية المرحلة الثانية: تشمل العقود محددة المدة بعد انتهاءها وتجديدها او تمديدها فيتم نقلها إلى نموذج العقود التنفيذية. المرحلة الثالثة: تشمل العقود غير محددة المدة.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,c37bc793ca18cedb26c8bc4e19db4b07f676501c117336fea4847f8c92bb7e80,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصة قوى على ثلاث مراحل: المرحلة الأولى: تشمل العقود الجديدة (العلاقة التعاقدية الجديدة) أو في حال التحديث على بنود العقود الحالية المرحلة الثانية: تشمل العقود محددة المدة بعد انتهاءها وتجديدها او تمديدها فيتم نقلها إلى نموذج العقود التنفيذية. المرحلة الثالثة: تشمل العقود غير محددة المدة.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: ماهي مراحل التطبيق علي العقود الموثقه لعقد العمل الموثق سندا تنفيذيا؟ الاجابه: سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصه قوي علي ثلاث مراحل: المرحله الاولي: تشمل العقود الجديده (العلاقه التعاقديه الجديده) او في حال التحديث علي بنود العقود الحاليه المرحله الثانيه: تشمل العقود محدده المده بعد انتهاءها وتجديدها او تمديدها فيتم نقلها الي نموذج العقود التنفيذيه. المرحله الثالثه: تشمل العقود غير محدده المده.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.4553,0.2579,0.4553,متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟,كيفية توثيق عقد العمل على نموذج عقد العمل الجديد (التنفيذي)؟,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,7ea405a8ffadf308f00ac9d24e5af0365a1509267866717162d256c66dc9e5ca,clean
42,ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين. أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين. أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,46001ae4bf6cc21f527a78e9a6a46b5913de3ecff09d71a32feb88f8a6ccaaa9,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين. أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: ماهي متطلبات الاستفاده من مبادره عقد العمل الموثق سندا تنفيذيا؟ الاجابه: وجود عقد عمل موثق بمنصه (قوي) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصه (قوي) وفق نموذج عقد العمل التنفيذي ان يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزاره العدل ويتم عن طريق التكامل التقني بين الوزارتين. ان يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزاره العدل ويتم عن طريق التكامل التقني بين الوزارتين.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.398,0.3748,0.398,كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟,كيفية توثيق عقد العمل على نموذج عقد العمل الجديد (التنفيذي)؟,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3,7ea405a8ffadf308f00ac9d24e5af0365a1509267866717162d256c66dc9e5ca,clean
93,ما هي الجهة المشرعة لبرنامج حماية الأجور؟,وزارة الموارد البشرية والتنمية الاجتماعية.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,8,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: ما هي الجهة المشرعة لبرنامج حماية الأجور؟ الإجابة: وزارة الموارد البشرية والتنمية الاجتماعية.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,78f881c6ac6d11831761761dbf7216c07b31b6dee228ccdb6e04ad4debb0bb6c,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ما هي الجهة المشرعة لبرنامج حماية الأجور؟ الإجابة: وزارة الموارد البشرية والتنمية الاجتماعية.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: ما هي الجهه المشرعه لبرنامج حمايه الاجور؟ الاجابه: وزاره الموارد البشريه والتنميه الاجتماعيه.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.4288,0.4894,0.4894,ما هو نظام حماية الأجور؟,هل أستطيع رفع ملفات حماية الأجور عبر موقع وزارة الموارد البشرية والتنمية الاجتماعية للخدمات الإلكترونية؟,23f96d2607660150ef76dbb1b285a7557f64ae21c60ce8df6f5ace1314d6b764,8c336978f0d8311fd695f34196d8b175c5eaa5c00345cac1fa521390bf458b3f,clean
94,ما هي أهداف برنامج حماية الأجور؟,تحسين العلاقة التعاقدية بين صاحب العمل والعامل، وضمان حقوق العمال والموظفين ودفع رواتبهم وفقاً للشروط المتفق عليها في عقد العمل.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,8,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: ما هي أهداف برنامج حماية الأجور؟ الإجابة: تحسين العلاقة التعاقدية بين صاحب العمل والعامل، وضمان حقوق العمال والموظفين ودفع رواتبهم وفقاً للشروط المتفق عليها في عقد العمل.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,b0ebcab351b4739f0566a90080daa23d875b475bac36659a0088539697b8a266,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ما هي أهداف برنامج حماية الأجور؟ الإجابة: تحسين العلاقة التعاقدية بين صاحب العمل والعامل، وضمان حقوق العمال والموظفين ودفع رواتبهم وفقاً للشروط المتفق عليها في عقد العمل.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: ما هي اهداف برنامج حمايه الاجور؟ الاجابه: تحسين العلاقه التعاقديه بين صاحب العمل والعامل، وضمان حقوق العمال والموظفين ودفع رواتبهم وفقا للشروط المتفق عليها في عقد العمل.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.5657,0.3936,0.5657,ماهي أهداف برنامج نطاقات المطور؟,كيف يتم حماية حقوق العامل؟,6ff8acc0f00c04a8f3c3b9e2c931e422728b201f017c40a3a5bba243c8b4e188,2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869,clean
101,ما هو تاريخ بداية العقد لمن أكمل 5 سنوات وكيف تحسب فترة الخدمة السابقة لتسجيل العقد؟,يجب إدخال تاريخ المباشرة كما هو مذكور في أول عقد للموظف مع المنشأة.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,9,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: ما هو تاريخ بداية العقد لمن أكمل 5 سنوات وكيف تحسب فترة الخدمة السابقة لتسجيل العقد؟ الإجابة: يجب إدخال تاريخ المباشرة كما هو مذكور في أول عقد للموظف مع المنشأة.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,0d597df1b233e5d84c1e7ddfd9353da00659d88fb934af35eaa2b25a57140b2c,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو تاريخ بداية العقد لمن أكمل 5 سنوات وكيف تحسب فترة الخدمة السابقة لتسجيل العقد؟ الإجابة: يجب إدخال تاريخ المباشرة كما هو مذكور في أول عقد للموظف مع المنشأة.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: ما هو تاريخ بدايه العقد لمن اكمل 5 سنوات وكيف تحسب فتره الخدمه السابقه لتسجيل العقد؟ الاجابه: يجب ادخال تاريخ المباشره كما هو مذكور في اول عقد للموظف مع المنشاه.,keep_labor_faq,Sector is labor and question/answer contains labor-related terms.,True,True,True,evaluation,0.2135,0.2116,0.2135,متى يكون إنهاء العقد؟,ماذا يحدث إذا لم يوافق الموظف على العقد؟,5b731056ef895b73c139f974e421ba5d2cb4a60ba5b11b5ba0bbcd86d71e1c88,988be671dd6148222062d906d88b481ede0668f764be55d5ec361c4f92a3453c,clean
105,كيف يرسل العقد للموظف؟,يرسل طلب توثيق العقد إلى حساب الموظف الخاص بالأفراد في منصة قوى ، وسوف يتم إشعار الموظف برسالة نصية و بريد إلكتروني،و من ثم عليه الذهاب إلى العقود الوظيفية لمراجعة العقد وقبوله أو رفضه. في حال كان الموظف المراد إرسال العقد له مقيم وغير مسجل على المنشأة حالياً، يجب إنشاء طلب (نقل موظف من صاحب عمل آخر) من خدمة (نقل الخدمات). بعد إتمام طلب النقل، يستطيع الموظف الموافقة على الطلب والعقد من خدمة (الانتقال الوظيفي) على حسابه الشخصي في قوى.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,9,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: كيف يرسل العقد للموظف؟ الإجابة: يرسل طلب توثيق العقد إلى حساب الموظف الخاص بالأفراد في منصة قوى ، وسوف يتم إشعار الموظف برسالة نصية و بريد إلكتروني،و من ثم عليه الذهاب إلى العقود الوظيفية لمراجعة العقد وقبوله أو رفضه. في حال كان الموظف المراد إرسال العقد له مقيم وغير مسجل على المنشأة حالياً، يجب إنشاء طلب (نقل موظف من صاحب عمل آخر) من خدمة (نقل الخدمات). بعد إتمام طلب النقل، يستطيع الموظف الموافقة على الطلب والعقد من خدمة (الانتقال الوظيفي) على حسابه الشخصي في قوى.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,c18fece192547ecfc865229426cb86860b0eac8f515d288c0f22cbabc1991928,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يرسل العقد للموظف؟ الإجابة: يرسل طلب توثيق العقد إلى حساب الموظف الخاص بالأفراد في منصة قوى ، وسوف يتم إشعار الموظف برسالة نصية و بريد إلكتروني،و من ثم عليه الذهاب إلى العقود الوظيفية لمراجعة العقد وقبوله أو رفضه. في حال كان الموظف المراد إرسال العقد له مقيم وغير مسجل على المنشأة حالياً، يجب إنشاء طلب (نقل موظف من صاحب عمل آخر) من خدمة (نقل الخدمات). بعد إتمام طلب النقل، يستطيع الموظف الموافقة على الطلب والعقد من خدمة (الانتقال الوظيفي) على حسابه الشخصي في قوى.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: كيف يرسل العقد للموظف؟ الاجابه: يرسل طلب توثيق العقد الي حساب الموظف الخاص بالافراد في منصه قوي ، وسوف يتم اشعار الموظف برساله نصيه و بريد الكتروني،و من ثم عليه الذهاب الي العقود الوظيفيه لمراجعه العقد وقبوله او رفضه. في حال كان الموظف المراد ارسال العقد له مقيم وغير مسجل علي المنشاه حاليا، يجب انشاء طلب (نقل موظف من صاحب عمل اخر) من خدمه (نقل الخدمات). بعد اتمام طلب النقل، يستطيع الموظف الموافقه علي الطلب والعقد من خدمه (الانتقال الوظيفي) علي حسابه الشخصي في قوي.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.3495,0.3275,0.3495,هل يمكنني تعديل أو سحب العقد بعد الإرسال للموظف؟,هل يمكنني تعديل أو سحب العقد بعد الإرسال للموظف؟,449c1a3291d221fe0c04ade508ac1959939315e721ee71b5c7be7700281ee45b,449c1a3291d221fe0c04ade508ac1959939315e721ee71b5c7be7700281ee45b,clean
110,هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها,نعم تمكن البوابة والأنظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوى دليل مستخدم مساند دليل المنصة الوطنية للتأهيل والتوجيه,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل,مركز الرياض للسياسات السلوكية,10,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل مركز الرياض للسياسات السلوكية السؤال: هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها الإجابة: نعم تمكن البوابة والأنظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوى دليل مستخدم مساند دليل المنصة الوطنية للتأهيل والتوجيه,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل | مركز الرياض للسياسات السلوكية,3bd22efd40a50fd37fe62428fe33778eb4918ea6a0fa8dd2e47cea459f83d393,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها الإجابة: نعم تمكن البوابة والأنظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوى دليل مستخدم مساند دليل المنصة الوطنية للتأهيل والتوجيه,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع التنميه الاجتماعيه قطاع الخدمه المدنيه (العام) قطاع العمل مركز الرياض للسياسات السلوكيه السوال: هل تمكن البوابه والانظمه التابعه لها المستخدم الاعتباري (الشركات) من تعديل بياناتها الاجابه: نعم تمكن البوابه والانظمه التابعه لها المستخدم الاعتباري (الشركات) من تعديل بياناتها وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوي دليل مستخدم مساند دليل المنصه الوطنيه للتاهيل والتوجيه,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer.,True,True,True,evaluation,0.7324,0.8295,0.8295,هل تمكن البوابة والانظمة التابعة لها المستخدم من تعديل بياناته.,هل تمكن البوابة والانظمة التابعة لها المستخدم من تعديل بياناته.,888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117,888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117,clean
